Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,NEW,Drake - Make Them Cry,1.0,1.0,(x1),405401.0,,405401.0,405401.0,405401.0,Drake,Make Them Cry
2,NEW,Drake - Dust,1.0,2.0,(x1),292458.0,,292458.0,292458.0,292458.0,Drake,Dust
3,NEW,Drake - Whisper My Name,1.0,3.0,(x1),277144.0,,277144.0,277144.0,277144.0,Drake,Whisper My Name
4,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1.0,4.0,,257405.0,,257405.0,257405.0,257405.0,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
5,NEW,Drake - Janice STFU,1.0,5.0,,240739.0,,240739.0,240739.0,240739.0,Drake,Janice STFU
6,NEW,Drake - Shabang,1.0,6.0,,230409.0,,230409.0,230409.0,230409.0,Drake,Shabang
7,NEW,Drake - National Treasures,1.0,7.0,,224728.0,,224728.0,224728.0,224728.0,Drake,National Treasures
8,NEW,Drake - Make Them Pay,1.0,8.0,,211677.0,,211677.0,211677.0,211677.0,Drake,Make Them Pay
9,NEW,Drake - B's On The Table (w/ 21 Savage),1.0,9.0,,192434.0,,192434.0,192434.0,192434.0,Drake,B's On The Table (w/ 21 Savage)
10,NEW,Drake - Plot Twist,1.0,10.0,,189483.0,,189483.0,189483.0,189483.0,Drake,Plot Twist
11,+64,Drake - What Did I Miss?,46.0,7.0,,185494.0,164534.0,206454.0,185494.0,1553476.0,Drake,What Did I Miss?
12,NEW,Drake - Burning Bridges,1.0,12.0,,177158.0,,177158.0,177158.0,177158.0,Drake,Burning Bridges
13,NEW,Drake - 2 Hard 4 The Radio,1.0,13.0,,166899.0,,166899.0,166899.0,166899.0,Drake,2 Hard 4 The Radio
14,NEW,Drake - Make Them Remember,1.0,14.0,,153175.0,,153175.0,153175.0,153175.0,Drake,Make Them Remember
15,NEW,Drake - Make Them Know,1.0,15.0,,144688.0,,144688.0,144688.0,144688.0,Drake,Make Them Know
16,NEW,Drake - Firm Friends,1.0,16.0,,129474.0,,129474.0,129474.0,129474.0,Drake,Firm Friends
17,NEW,Drake - Don’t Worry,1.0,17.0,,127942.0,,127942.0,127942.0,127942.0,Drake,Don’t Worry
18,NEW,Drake - Little Birdie,1.0,18.0,,129670.0,,129670.0,129670.0,129670.0,Drake,Little Birdie
19,NEW,Drake - Fortworth (w/ PARTYNEXTDOOR),1.0,19.0,,94565.0,,94565.0,94565.0,94565.0,Drake,Fortworth (w/ PARTYNEXTDOOR)
20,NEW,Drake - WNBA,1.0,20.0,,93242.0,,93242.0,93242.0,93242.0,Drake,WNBA
21,-20,Feza - Umaqondana,178.0,1.0,(x73),92489.0,18232.0,557622.0,-4144.0,20873518.0,Feza,Umaqondana
22,-19,"Trechyson Molly vx - Botshelo Ke Eng (w/ DJ Promatic SA, Dendofela)",92.0,1.0,(x39),91222.0,29710.0,546841.0,-12925.0,9201438.0,Trechyson Molly vx,"Botshelo Ke Eng (w/ DJ Promatic SA, Dendofela)"
23,-21,LIMIT NALA - Ama Baffalo Nama Elephant,36.0,1.0,(x9),85657.0,21016.0,515810.0,-4743.0,3196369.0,LIMIT NALA,Ama Baffalo Nama Elephant
24,NEW,Drake - Hoe Phase,1.0,24.0,,84202.0,,84202.0,84202.0,84202.0,Drake,Hoe Phase
25,-21,"JAZZWRLD - Ningikhonzele (w/ Thatohatsi, Thukuthela)",15.0,4.0,,81982.0,20842.0,432009.0,17741.0,778905.0,JAZZWRLD,"Ningikhonzele (w/ Thatohatsi, Thukuthela)"
26,-21,Calvin Fallo - Everybody Wanna Be In Love,15.0,3.0,(x1),81300.0,22306.0,433004.0,15621.0,725652.0,Calvin Fallo,Everybody Wanna Be In Love
27,NEW,Drake - Slap The City (w/ Qendresa),1.0,27.0,,80980.0,,80980.0,80980.0,80980.0,Drake,Slap The City (w/ Qendresa)
28,-22,"031CHOPPA - Fast Fast (w/ Al Xapo, Benzoo, Roscosteazy, Optimist Music ZA, JussGigi)",47.0,4.0,,77578.0,22667.0,447767.0,-5993.0,2896521.0,031CHOPPA,"Fast Fast (w/ Al Xapo, Benzoo, Roscosteazy, Optimist Music ZA, JussGigi)"
29,-20,"Sami'Kay - Amanxeba (w/ Rox Roberson, Misokuhle)",295.0,4.0,,72901.0,26489.0,388820.0,2192.0,16968592.0,Sami'Kay,"Amanxeba (w/ Rox Roberson, Misokuhle)"
30,NEW,Drake - High Fives,1.0,30.0,,71250.0,,71250.0,71250.0,71250.0,Drake,High Fives
31,NEW,Drake - Rusty Intro,1.0,31.0,,69691.0,,69691.0,69691.0,69691.0,Drake,Rusty Intro
32,-21,"Sam Deep - Shela (w/ Nia Pearl, Boohle, Mano)",268.0,1.0,(x85),68803.0,23578.0,366181.0,-51.0,29539551.0,Sam Deep,"Shela (w/ Nia Pearl, Boohle, Mano)"
33,-23,"Xduppy - Lwetse (w/ Angekebabuye Mc, DJ Maphorisa, Mluusician)",50.0,5.0,,67239.0,21196.0,367039.0,-1418.0,2802589.0,Xduppy,"Lwetse (w/ Angekebabuye Mc, DJ Maphorisa, Mluusician)"
34,NEW,Drake - Hurrr Nor Thurr (w/ Sexyy Red),1.0,34.0,,65750.0,,65750.0,65750.0,65750.0,Drake,Hurrr Nor Thurr (w/ Sexyy Red)
35,NEW,Drake - Classic,1.0,35.0,,65355.0,,65355.0,65355.0,65355.0,Drake,Classic
36,NEW,Drake - I'm Spent (w/ Loe Shimmy),1.0,36.0,,64557.0,,64557.0,64557.0,64557.0,Drake,I'm Spent (w/ Loe Shimmy)
37,NEW,Drake - Road Trips,1.0,37.0,,60779.0,,60779.0,60779.0,60779.0,Drake,Road Trips
38,RE,Drake - Which One (w/ Central Cee),37.0,16.0,,59410.0,,59410.0,59410.0,943732.0,Drake,Which One (w/ Central Cee)
39,-26,JIKIJIKI - Ngzomthatha,14.0,11.0,,58645.0,19894.0,284402.0,20618.0,460513.0,JIKIJIKI,Ngzomthatha
40,NEW,Drake - Gen 5,1.0,40.0,,55966.0,,55966.0,55966.0,55966.0,Drake,Gen 5
41,-33,"Wendy M - Dipelo (w/ Natiey Lepaka, Dj Tsp)",22.0,8.0,,55018.0,8258.0,331641.0,3792.0,948639.0,Wendy M,"Dipelo (w/ Natiey Lepaka, Dj Tsp)"
42,NEW,Drake - White Bone,1.0,42.0,,54769.0,,54769.0,54769.0,54769.0,Drake,White Bone
43,NEW,Drake - Cheetah Print (w/ Sexyy Red),1.0,43.0,,54768.0,,54768.0,54768.0,54768.0,Drake,Cheetah Print (w/ Sexyy Red)
44,-32,"DJ Zinhle - Baba Yilwa (w/ DJ Lace, FunkTone, Thobani White)",43.0,3.0,(x3),54190.0,11297.0,377856.0,-9057.0,2580179.0,DJ Zinhle,"Baba Yilwa (w/ DJ Lace, FunkTone, Thobani White)"
