,Country,Total,Albania,Armenia,Australia,Austria,Azerbaijan,Belgium,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,Norway,Poland,Portugal,San Marino,Serbia,Slovenia,Spain,Sweden,Switzerland,Ukraine,United Kingdom,Rest of the World
1,Israel,297,7,,12,7,12,12,,10,10,8,2,10,12,7,12,7,4,10,,8,7,3,12,5,7,12,10,,12,10,2,6,12,12,12,1,12,12
2,Estonia,258,5,12,6,8,8,2,12,7,6,6,,8,,8,4,8,7,6,10,7,12,10,5,12,10,8,7,10,1,7,12,7,7,8,2,2,6,2
3,Sweden,195,2,6,8,4,3,4,8,,7,12,12,12,,1,5,1,10,2,2,5,8,4,2,1,5,7,12,8,4,1,7,5,5,,5,4,7,6
4,Austria,178,6,7,3,,10,3,5,6,4,3,,7,2,5,6,10,3,4,8,4,4,5,,10,3,3,1,7,7,5,10,10,4,,6,6,,1
5,Albania,173,,3,4,6,7,7,10,,5,,,4,10,3,8,12,,,,10,,,7,4,12,,,4,2,8,4,8,3,7,10,,5,10
6,Ukraine,158,,,,,4,,2,8,12,4,6,2,6,10,3,,,7,12,6,6,7,,,6,4,2,12,10,4,,3,10,4,,,,8
7,Poland,139,,,1,5,,10,,4,8,7,,,7,,7,,12,12,,3,,,3,2,,10,8,,,6,,,8,6,3,3,10,4
8,Greece,126,12,8,7,,,6,,12,,,,,4,,10,,,,7,2,,,10,,4,5,,,,12,8,,,3,7,,2,7
9,Finland,108,,1,10,2,5,,7,,3,5,10,,,,,,5,5,1,,3,,,7,,6,6,1,,,6,,6,10,,,4,5
10,Italy,97,10,,,10,,1,6,,,,7,,3,,2,,,,,,2,6,,8,1,2,,,8,3,,12,,1,8,7,,
11,Germany,74,4,5,,12,,,3,,1,1,3,5,,2,,3,1,,5,,5,8,,,,1,,5,,,5,,,,,5,,
12,Norway,67,,4,,,6,,4,5,2,,,,,4,,4,8,,,1,1,2,,6,,,,3,,,3,2,2,,,10,,
13,Lithuania,62,,,,,,,,,,2,1,1,,6,,,,8,,,10,,4,,,,4,6,,,,,,,,12,8,
14,France,50,,10,,,2,8,,3,,,,,,,,5,,,4,,,,6,,2,,,,5,,,,1,,4,,,
15,Netherlands,42,1,2,,3,,5,,1,,,4,,,,,6,6,,,,,1,,,,,5,,3,2,,,,2,1,,,
16,Latvia,42,,,2,,,,,,,,8,3,,,,,,3,,,,12,1,,,,,2,,,,,,,,8,3,
17,Iceland,33,,,,1,,,1,,,10,5,6,,,1,,,,,,,,,,,,3,,,,,1,,5,,,,
18,Armenia,30,,,,,,,,2,,,,,8,12,,2,,,6,,,,,,,,,,,,,,,,,,,
19,Luxembourg,24,8,,,,,,,,,,,,1,,,,,,3,,,,,,8,,,,,,,4,,,,,,
20,San Marino,18,3,,,,,,,,,,,,,,,,,,,12,,,,3,,,,,,,,,,,,,,
21,Portugal,13,,,,,,,,,,,,,5,,,,,,,,,,8,,,,,,,,,,,,,,,
22,Spain,10,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,6,,,,,,,,,3
23,Malta,8,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
24,Denmark,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
25,Switzerland,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"United Kingdom",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
