ChartCountry,Austria,Estonia,Finland,France,Germany,Greece,Iceland,Israel,Italy,Latvia,Lithuania,Netherlands,Norway,Portugal,San Marino,Spain,Sweden,Ukraine
Austria,35.0,12.0,,,116.0,,,,,,,,169.0,,,,106.0,
Belarus,,175.0,,,,,,,,,,,,,,,,
Belgium,,34.0,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,31.0,,,,
Estonia,103.0,27.0,81.0,,44.0,,64.0,,,,,,43.0,196.0,,,17.0,
Finland,182.0,24.0,70.0,,109.0,,135.0,,,,,,129.0,,,,5.0,
France,,,,180.0,,,,,,,,,,,191.0,,,
Germany,,101.0,,,177.0,,,,,,,,,,,,,
Greece,,,,,,95.0,,,,,,,,,,,,
Iceland,80.0,12.0,,,99.0,,5.0,,,,,183.0,17.0,,,,13.0,
Israel,,71.0,,,,,,60.0,,,,,,,,,,
Latvia,,24.0,,,66.0,,,,,163.0,,,88.0,,,,53.0,
Lithuania,85.0,56.0,,,21.0,,,,99.0,,31.0,,42.0,88.0,,,60.0,
Luxembourg,,56.0,,,,,,,,,,,,65.0,,,,
Netherlands,,24.0,,,,,,,,,,42.0,,,,,,
Norway,,36.0,,,,,,,,,,,33.0,,,,24.0,
Paraguay,,,,,,,,,,,,,,175.0,,,,
Peru,,,,,,,,,,,,,,88.0,,,,
Poland,,65.0,,,79.0,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,6.0,,,,
Spain,,,,,,,,,,,,,,,,140.0,,
Sweden,,10.0,,,,,102.0,,,,,,181.0,,,,4.0,
Switzerland,,53.0,,,,,,,,,,,195.0,,,,138.0,
Ukraine,,,,,,,,,,,,,114.0,,,,,129.0
