Place,Country,Song,Artist,Points,Public,Jury,Running
1,Austria,Wasted Love,JJ,436,178,258,9
2,Israel,New Day Will Rise,Yuval Raphael,357,297,60,4
3,Estonia,Espresso macchiato,Tommy Cash,356,258,98,3
4,Sweden,Bara bada bastu,KAJ,321,195,126,23
5,Italy,Volevo essere un duro,Lucio Corsi,256,97,159,14
6,Greece,Asteromáta,Klavdia,231,126,105,17
7,France,Maman,Louane,230,50,180,24
8,Albania,Zjerm,Shkodra Elektronike,218,173,45,26
9,Ukraine,Bird of Pray,Ziferblat,218,158,60,7
10,Switzerland,Voyage,Zoë Më,214,0,214,19
11,Finland,Ich komme,Erika Vikman,196,108,88,13
12,Netherlands,C'est La Vie,Claude,175,42,133,12
13,Latvia,Bur man laimi,Tautumeitas,158,42,116,11
14,Poland,Gaja,Justyna Steczkowska,156,139,17,15
15,Germany,Baller,Abor & Tynna,151,74,77,16
16,Lithuania,Tavo akys,Katarsis,96,62,34,5
17,Malta,Serving,Miriana Conte,91,8,83,20
18,Norway,Lighter,Kyle Alessandro,89,67,22,1
19,United Kingdom,What The Hell Just Happened?,Remember Monday,88,0,88,8
20,Armenia,Survivor,Parg,72,30,42,18
21,Portugal,Deslocado,Napa,50,13,37,21
22,Luxembourg,La poupée monte le son,Laura Thorn,47,24,23,2
23,Denmark,Hallucination,Sissal,47,2,45,22
24,Spain,Esa diva,Melody,37,10,27,6
25,Iceland,Róa,Væb,33,33,0,10
26,San Marino,Tutta l'Italia,Gabry Ponte,27,18,9,25
